text_es,text_en
GASTRITIS + RGE,GASTRITIS + GERD
HIPOSPADIA PENEANA + CRIPTORQUIDIA DERECHA,PENIAL HYPOSPADIA + RIGHT CRYPTORCHIDIA
FXT CUBITO Y RADIO IZQUIERDOS,FXT LEFT CUBE AND RADIO
ARTROSIS RODILLAS,KNEE ARTHROSIS
ARTRALGIA RODILLA DERECHA,RIGHT KNEE ARTHRALGY
CONTROL,CONTROL
DEFORMIDAD DEDOS MANO IZQUIERDA,LEFT HAND FINGER DEFORMITY
AMIGDALECTOMIA ADENOIDECTOIMA,ADENOIDECTOIMA TONSILLECTOMY
ESCOLIOSIS IDIOPATICA,IDIOPATHIC SCOLIOSIS
POP DE RA MAS OTS DE RADIO Y CUBITO,POP OF RA MAS OTS OF RADIO AND CUBITO
HEMANGIOMA CUELLO|,NECK HEMANGIOMA |
CA TIROIDES,CA THYROID
FRACTURA 5 METACARPIANO IZQUIERDO,FRACTURE 5 LEFT METACARPAL
"HIPERTROFIA AMIGDALAS, CORNTES Y ADENOIDES,""HYPERTROPHY TONSILLS, CORNTES AND ADENOIDS"""
NEUROMA INDICE MANO DERECHA,RIGHT HAND INDEX NEUROMA
HIPERTROFIA DE ADENOIDE Y CORNETES,HYPERTROPHY OF ADENOID AND CORNETS
DEDOS MARTILLO AMBOS PIES,HAMMER TOES BOTH FEET
QUISTE BRANQUIAL,BRANCHIAL CYST
POP TRAUMA SEVERO MANO IZQ,POP SEVERE LEFT HAND TRAUMA
TRAUMA OIDO IZQUIERDO,LEFT EAR TRAUMA
STENT VIA BILIAR,BILIARY TRACT STENT
HIDROCELE DERECHO,RIGHT HYDROCELE
LESION MANO IZQUIERDA,LEFT HAND INJURY
TESTICULOS NO DESCENDIDOS,UNDESCENDED TESTICLES
"VARICOCELE, FIMOSIS,""VARICOCELE, PHIMOSIS"""
LESION MANGUITO ROTADOR DERECHO,RIGHT ROTATOR Cuff INJURY
HEMANGIOMA EN CUELLO,NECK HEMANGIOMA
FISTULA ANO VAGINAL .,VAGINAL ANO FISTULA.
HALLUX RÍGIDO,HALLUX RIGID
HIPERTROSFIA MAMARIA,BREAST HYPERTROPHY
PIE EQUINOVARO BILATERAL .,BILATERAL EQUINOVAR FOOT.
CATARATA CONGÉNITA,CONGENITAL CATARACT
DILATACION VIA BILIAR,BILIARY TRACT DILATION
ALTERACION CRECIMIENTO,GROWTH ALTERATION
LESION HOMBRO IZQ,LEFT SHOULDER INJURY
HIPERTROFIA DE AMIGDALAS GRADO III + ADENOIDES,GRADE III TONSILLA HYPERTROPHY + ADENOIDS
TUMOR RECTO,RECTUM TUMOR
ESTREÑIMIENTPO,CONSTIPATION
DOLOR PELVICO IZQUIERDO,LEFT PELVIC PAIN
METASTASIS PULMON,LUNG METASTASIS
HVDB,HVDB
VASECTOMIA,VASECTOMY
INSUFICIENCIA VENOSA PERIFÉRICA .,PERIPHERAL VENOUS INSUFFICIENCY.
"HIPERTROFIA DE CORNETES , TBIQUE DESVIADO .,""CORNETAL HYPERTROPHY, DEVIATED TBIQUE."""
ADENOMIOSIS .,ADENOMIOSIS.
LESIÓN MNISCO RODILLA,KNEE MNISCUS INJURY
HIPOACUSIA CONDUCTIVA,CONDUCTIVE HEARING HEARING
ALTERACION EN LA MEMORIA,ALTERATION IN MEMORY
LIPOMA EN ESPALDA,LIPOMA ON BACK
POLIPO COLON Y RECTO,COLON AND RECTUM POLYP
PAPILOMATIOSIS LARINGEA,LARYNGEAL PAPILLOMATIOSIS
HEPPATOCARCINOMA,HEPPATOCARCINOMA
LESION TORACO LUMBAR,THORACOLUMBAR INJURY
CATARATA OJO IZQ,LEFT EYE CATARACT
A ESCAMOCELULA,TO SCAMOCELLULA
CIRROSIS CHILD A X HEPATITIS C CRONICA 1B,CIRRHOSIS CHILD A X CHRONIC HEPATITIS C 1B
MASA OVARIO,OVARIAN MASS
QUISTE DE OVARIO,OVARIAN CYST
GANGLION MUÑECA,GANGLION WRIST
HEPATOCARCINOMA,HEPATOCARCINOMA
DOLOR EN CADERA IZQUIERDA,LEFT HIP PAIN
TRAUMA EN HOMBRO DERECHO,TRAUMA TO THE RIGHT SHOULDER
MASA DEDO DE PIE,TOE MASS
TRAUMA DE TOBILLO DERECHO,RIGHT ANKLE TRAUMA
DOLOR EN HOMBRO DERECHO,PAIN IN RIGHT SHOULDER
HIPERTROFIA DE ADENOIDES,ADENOID HYPERTROPHY
TRAUMA CON ESTRECHEZ DE URETRA,TRAUMA WITH URETHRAL Narrowness
NODULO MAMARIO,BREAST NODULE
RUPTURA TRAUMATICA DISCO INTERVETEBRAL T6-T7,TRAUMATIC INTERVETEBRAL DISC RUPTURE T6-T7
ENFERMEDAD INFLAMATORIA CERVIX UTERINO,INFLAMMATORY DISEASE CERVIX UTERINE
GRANULOMA PARED ABDOMINAL,ABDOMINAL WALL GRANULOMA
HEMORRAGIA SUBARACNOIDEA,SUBARACHNOID HEMORRHAGE
HERRNIA E DISCO INTERVERTEBRAL,HERRNIA AND INTERVERTEBRAL DISC
LESION DE RODILLA IZQUIERDA,LEFT KNEE INJURY
"EPICONDILITIS LATERAL , COMPRESIÓN NERVIO RADIAL,""LATERAL EPICONDILITIS, RADIAL NERVE COMPRESSION"""
ESTENOSIS ANAL FIBRÓTICA,FIBROTIC ANAL STENOSIS
FRENILLO LABIAL SUPERIOR LARGO,LONG UPPER LABIAL FRENUM
SD TRNEL DEL CARPO,SD CARPAL TRNEL
EMB A TERMINO,EMB FINISHED
VARICOCELE .,VARICOCELE.
CA DE LENGUA.,CA OF TONGUE.
HIPERTROFIA DE LOS CORNETES NASALES,HYPERTROPHY OF THE NASAL CORNETS
CATARATA.,CATARACT.
DEFORMIDAD 3 ER DEDO MANO DERECHA,3RD FINGER DEFORMITY OF THE RIGHT HAND
CESAREA ITERATIVA,ITERATIVE CESAREA
EMB A TÉRMINO .,TERM EMB.
OBSTRUCCION VÍAS ESPIRATORIAS,EXPIATORY TRACT OBSTRUCTION
SD CONVULSIVO .,CONVULSIVE DS.
SINUSITIS,SINUSITIS
FRACTURA DE HUESO FONTAL,FONTAL BONE FRACTURE
LESION DEL NERVIO ULNAR,ULNAR NERVE INJURY
ABORTO RETENIDO,RETAINED ABORTION
RADICULOPATIA LUMBAR/TUNEL CARPIANO MANO DR,LUMBAR RADICULOPATHY/CARPAL TUNNEL HAND DR
HERNIA DISCAL L4 L5,DISC HERNIATION L4 L5
APNEA DEL SUEÑO,SLEEP APNEA
LENGUA BIFIDA,FORKED TONGUE
ANILLO DE SCHATZKI,SCHATZKI RING
"AMIGDALITIS A REPETICION, HIPERTROFIA AMIGDALAS, ADENOIDES, CORNETES,""REPEATED TONSILLITIS, TONSILLA HYPERTROPHY, ADENOIDS, CORNETS"""
"HEMATOMA EPIDURAL, FRACTURA DE FEMUR,""EPIDURAL HEMATOMA, FEMUR FRACTURE"""
DÉFICIT COGNITIVO .,COGNITIVE DEFICIT.
ATRESIA ESOFAGICA .,ESOPHAGEAL ATRESIA.
G1P0 EMB A TÉRMINO    DCP,G1P0 EMB TERM DCP
ESION DE MENISCOS Y LIGAMENTOS RODILLA,SION OF MENISCUS AND KNEE LIGAMENTS
MICROADENOMA DE HIPÓFISIS,PITUITARY MICROADENOMA
FRACTURA NASAL,NASAL FRACTURE
HIDRONEFROSIS,HYDRONEPHROSIS
HERNIA HIATAL,HIATAL HERNIA
ESTENOSIS URETRAL,URETHRAL Stricture
ANTECEDENTE INGESTION PILA,HISTORY OF PILE INGESTION
QUISTE BARTHOLINO,BARTHOLINE CYST
LESION PAPILOMATOSAS,PAPILLOMATOUS LESION
H INGUINAL IZQ,H INGUINAL LEFT
VARICOCELE IZQUIERDO,LEFT VARICOCELE
INSUFICIENCIA VENOSA PIERNA IZQ,LEFT LEG VENOUS INSUFFICIENCY
LENTE DESPLAZADO,LENS DISPLACED
LIBERACION TUNEL CARPO MANO IZQ,LEFT HAND CARPAL TUNNEL RELEASE
POLIPO GASTRICO/,GASTRIC POLYP/
QUISTE TIROGLOSO,THYROGLOSSAL CYST
HERNIA UMBILICAL*/INGUINAL DER/HIDROCELE DER,UMBILICAL HERNIA*/RIGHT INGUINAL/RIGHT HYDROCELE
LESIONES HEMITORAX DER,RIGHT HEMITORAX INJURIES
RGE SEVERO,SEVERE GER
METASTASIS OSEA,BONE METASTASIS
INSUF PANCREATICA,PANCREATIC INSUFF
MASA PARPADO INF OJO DER,EYELID MASS LOWER RIGHT EYE
PINZAMIENTO FEMORO ACETABULA,FEMORO ACETABULA IMPEGINATION
LIPOMA CERVICAL + ESPALDA,CERVICAL + BACK LIPOMA
RETINOBLASTOMA .,RETINOBLASTOMA.
DSICOPATÍA C5C6,C5C6 DYSCOPATHY
LESIN ANEXUIAL COMPLEJA IZQ,LEFT COMPLEX ANNEXUAL INJURY
PINZAMIENTO FEMORO ACETABULAR,FEMORO ACETABULAR IMPEGINATION
LESION LCA RODILLA DER,RIGHT KNEE ACL INJURY
VARICES PÉLVICA.,PELVIC VARICES.
FX DE FEMUR IZQ,LEFT FEMUR FX
"CATARATA, GLAUCOMA OI,""CATARACT, OI GLAUCOMA"""
ANT DE FX TIBIA IZQ,FX ANT TIBIA LEFT
FRACTURA DE TIBIA .,TIBIA FRACTURE.
CANAL ESTRECHO,NARROW CHANNEL
TUMOR DE COMPORTAMIENTO INCIERTO EN HOMBRO DERECHO,TUMOR OF UNCERTAIN BEHAVIOR IN THE RIGHT SHOULDER
CATARATA SENIL OJO IZUQIERDO,SENIL CATARACT LEFT EYE
HERNIAS USPRAUMBILICAL Y PARAMEDIANA EPIGASTRICA,USPRAUMBILICAL AND PARAMEDIAN EPIGASTRIC HERNIAS
DESVIACION DE TABIQUE NASAL,NASAL SEPTUM DEVIATION
ASIMETRIA FACIAL,FACIAL ASYMMETRY
HERNIA EPIGASTRICA,EPIGASTRIC HERNIA
SARCOMA .,SARCOMA.
MALFORMACION ARTERIOVENOSA .,ARTERIOVENUS MALFORMATION.
LESIÓN DE MENISCO EN RODILLA,MENISCUS INJURY IN KNEE
CA DE MAMA ZQUIERDA .,CA DE MAMA LEFT.
CANCER DE MAMA,BREAST CANCER
DOLOR PÉLVICO,PELVIC PAIN
PANCREATITIS .,PANCREATITIS.
ADENOCARCINOMA DE PROSTATA,PROSTATE ADENOCARCINOMA
FISTULA ANORECTAL,ANORECTAL FISTULA
ESTENOSIS AORTICA,AORTIC STENOSIS
PERFORACION OIDO IZQ,LEFT EAR PIERCING
ESPINA BIFIDA,SPINA BIFIDA
HERNIORRAFIA INGUINAL BILATERAL Y UMBILICAL POR LAPAROSCOPIA,BILATERAL AND UMBILICAL INGUINAL HERNIORRHAPHY BY LAPAROSCOPY
CAMBIOS ESTÉTICOS NO FAVORABLES EN PENE,UNFAVORABLE AESTHETIC CHANGES IN THE PENIS
HERNIA EPIGASTRICA SINTOMATICA Y HERNIA UMBILICAL,SYMPTOMATIC EPIGASTRIC HERNIA AND UMBILICAL HERNIA
FRACTURA DE SCAFOIDES DE MUÑECA DERECHA,SCAPHHOID FRACTURE OF RIGHT WRIST
PREPUCI REDUNDANTE,REDUNDANT FORESPUCI
VARICOCELE BILATERLA,BILATERAL VARICOCELE
FRENILLO SUBLINGUAL,SUBLINGUAL FRENUM
HIPERTROFIA CORNETES,CORNETAL HYPERTROPHY
CA BASOCELULAR PARPADO INF DER,BASAL CELLULAR CASE LOWER RIGHT EYELID
RUPTURA LIGAMENTOS TOBILLO DER,RUPTURE OF RIGHT ANKLE LIGAMENTS
FX NASAL,NASAL FX
CA PAROTIDA,CA PAROTIDA
TUNEL CARIANO MANOS,CARIANO HANDS TUNNEL
ESTRABISMO OI,STRABISMUS OI
LABIO HENDIDO,Cleft lip
POLIDACTILIA PREAXIAL,PREAXIAL POLYDACTYLY
LESION DE MENISCO RODILLA IZQ,LEFT KNEE MENISCUS INJURY
HALLUX VALGUS BILATERAL Y DEDO EN MARTILLO,BILATERAL HALLUX VALGUS AND HAMMER TOE
LESION EN MENISCO,MENISCUS INJURY
FX CLAVICULA DERECHA,FX RIGHT CLAVICLE
FRACTURA DE METATARSIANOS,METATARSAL FRACTURE
HIPERTROFIA DE ADENOIDES .,ADENOID HYPERTROPHY.
QUISTES DE MAMA BILATERALES .,BILATERAL BREAST CYSTS.
"HIDROCELE DERECHO , VASECTOMÍA .,""RIGHT HYDROCELE, VASECTOMY."""
LESIÓN DE MENISCOS .,MENISCUS INJURY.
POP FX PLATILLOS TIBIALES RODILLA IZQ,POP FX TIBIAL PLATS LEFT KNEE
"HEMATOQUEXIA, DOLOR ABDOMINAÑ,""HEMATOCHEXIA, ABDOMINAL PAIN"""
LESIONES CUERDAS VOCALES.,VOCAL CORD INJURIES.
MICROCRANEO,MICROCRANE
SND KABUKI,SND KABUKI
PINZAMIENTO ACETABULAR,ACETABULAR IMPEGINATION
RETIRO MATERIAL OSTEOSINTESIS,OSTEOSYNTHESIS MATERIAL REMOVAL
MASA EN COLA DEL PANCREAS,TAIL MASS OF THE PANCREAS
TUMOR EN ONJUNTIVA,TUMOR IN ONJUNCTIVA
TUMOR DESMOIDES MUSLO,DESMOID TUMOR THIGH
SANO,HEALTHY
SANA,FURY
RACTURA NASAL,NASAL CRACTURE
MICROSOMIA HEMIFACIAL,HEMIFACIAL MICROSOMIA
DESVIACION SEPTAL,SEPTAL DEVIATION
POP DE VITRECTOMIA,VITRECTOMY POP
GONARTROSIS Y LES MENISCO RODILLA IZDA,GONARTHROSS AND LEFT KNEE MENISCUS
AFAQUIA BILATERAL,BILATERAL APHAKIA
G4A2C1/EMBZO TERMINO,G4A2C1/EMBZO END
TENDINITIS GLUTEO IZDO,LEFT GUTEOUS TENDINITIS
REFLUJO GASTROESOFÁGICO,GASTROESOPHAGEAL REFLUX
AMIGDALITIS,TONSILLITIS
FX MSI,MSI FX
COLELITIASIS Y POLIPO,CHOLELITHIASIS AND POLYP
FX RADIO,FX RADIO
CA DE RECTO,STRAIGHT CA
DOLOR CADERA DERECHA,RIGHT HIP PAIN
VARICES MSIS,VARICES MSIS
ALTA MIOPIA.,HIGH MYOPIA.
RUPTURA MANGUITO ROTADOR IZQDO,RUPTURE OF LEFT ROTATOR Cuff
RETINOBLASTOMA,RETINOBLASTOMA
TOS CRONICA,CHRONIC COUGH
TUMOR FDE HIPÓFISIS,FDE PITUITARY TUMOR
MASA EN PÁRPADO SUPERIOR IZQUIERDO.,MASS IN LEFT UPPER EYELID.
TRAUMA MAXILAR,MAXILLARY TRAUMA
RMN CEREBRAL .,BRAIN MRI.
LINFOMA DE HODKIN,HODKIN'S LYMPHOMA
PAPILOMA DE PLEJOS COROIDEOS,PAPILLOMA OF CHOROID PLEXUS
SD TUNEL DEL CARPO .,SD CARPAL TUNNEL .
LEION DE LIGAMENTO CRUZADO ANTERIOR,ANTERIOR CRUCIATED LIGAMENT INJURY
LESION TOBILLO DERECHO,RIGHT ANKLE INJURY
POP HALLUX VALGUS,POP HALLUX VALGUS
POP CX M SUP IZQ,POP CX M SUP LEFT
DEDO EN GATILLO TERCER DEDO MANO IZQUIERDA,TRIGGER FINGER THIRD FINGER LEFT HAND
LESION PIERNA IZQ,LEFT LEG INJURY
QUISTE OVARIO DERECHO,RIGHT OVARIAN CYST
ARTROSIS + LESION DE PLATILLOS TIBIALES RODILLA IZQUIERDA,ARTHROSIS + LEFT KNEE TIBIAL PLATE INJURY
HIGROMA QUISTICO,CYSTIC HYGROMA
PRIAPISMO,PRIAPISM
DEGERACION MIOPICA,MYOPIC DEGERATION
ESTREÑIMIENTO CRONICO,CHRONIC CONSTIPATION
HIDROCEFALIA DE PRESION NORMNAL,NORMAL PRESSURE HYDROCEPHALIA
POLIPO COLONICO,COLONICAL POLYP
HALUX VALGUS DERECHO,RIGHT HALUX VALGUS
DOLOR ABDOMINAL CRONICO,CHRONIC ABDOMINAL PAIN
POP BAHA,POP BAHA
LX MENISCAL DISCOIDE,LX DISCOID MENISCAL
LX MENISCAL IZQUEIRDA,LX LEFT MENISCAL
GASTRITS Y HELICOBACTER,GASTRITS AND HELICOBACTER
PATERNIDAD SATISFECHA,SATISFIED PARENTHOOD
HIPERPLASIA PROSTÁTICA,PROSTATIC HYPERPLASIA
SARCOMA SINOVIAL RODILLA DERECHA .,SYNOVIAL SARCOMA OF THE RIGHT KNEE.
PARIDAD SATISFECHA .,SATISFIED PARITY.
NEFROLITIASIS,NEPHROLITHIASIS
SND TUNEL CARPO,SND CARPAL TUNNEL
MENINGIOMATIOSIS CEREBRAL HEMISFERICO IZQUIERDO,LEFT HEMISPHERIC CEREBRAL MENINGIOMATIOSIS
"ARTROSIS CADERA IZQUIERDA,,""LEFT HIP ARTHROSIS,"""
ONICOMISCOSIS,ONYCHOMYSCOSIS
POP MASTECTOMIA,POP MASTECTOMY
TENDITINIS GLUETO MINIMO Y PSOAS,GLUETUS MINIMUM AND PSOAS TENDITINIS
ADENOMIOMATOSIS,ADENOMIOMATOSIS
TENOSINOVITIS DE EXTENSORES,EXTENSOR TENOSYNOVITIS
PTERIGIO,PTERYGIUM
LIPOOMA CUELLO,NECK LIPOOMA
LESION PAPILOMATOSA CUERDA VOCAL,VOCAL CORD PAPILLOMATOUS LESION
QUISTE OSEO DIAFISIS FEMUR IZQ,BONE CYST DIAPHYSIS LEFT FEMUR
LESION DE LIGAMENTO RODILLA IZQ,LEFT KNEE LIGAMENT INJURY
DISPRAXIA,DYSPRAXIA
GAMGLION MANO DERECHA,GAMGLION RIGHT HAND
TUMOR PAROTIDA DERECHA,RIGHT PAROTIDAL TUMOR
MASA RENAL DERECHA,RIGHT KIDNEY MASS
HIPERHIDROSIS AXILAR,AXILLARY HYPERHYDROSIS
PTERIGIO OJO DERECHO,RIGHT EYE PTERGYGUM
HIPERPLASIA BENIGNA DE PRÓSTATA .,BENIGN PROSTATE HYPERPLASIA.
POR ELICOBACTER EN ENDOSCOPIA PREVIA,BY ELICOBACTER IN PREVIOUS ENDOSCOPY
COLON IRRITABLE .,IRRITABLE COLON.
HIPERHIDROSIS .,
PIE VARO IZQUIERDO,
HIPERREACTIVIDAD BRONQUIAL,
LESION MENISCO LATERAL RODILLA DER,
HERNIA INGUINAL BILATERAL,
NEFROLITIASIS IZDA,
ENFERMEDAD DEL PANCREAS, NO ESPECIFICADA,
TUMOR DE AMIGDALA DERECHA,
SD TUNEL CUBITAL IZQDO,
GANGLION MUÑECA IZQDA,
HUA Y POLIPO ENDOMETRIAL,
LESION DE VIA BILIAR,
QUISTE BARTOLINO DERECHO,RIGHT BARTHOLINE CYST
"HT CORNETES,ADENOIDES Y AMIGDALAS.,""HT CORNETES, ADENOIDS AND TONSILS."""
ESCOLIOSIS SEVERA,SEVERE SCOLIOSIS
INSUFICIENCIA VENOSA BILATERAL,BILATERAL VENOUS INSUFFICIENCY
G3P2 EMB 23 SEMANAS,G3P2 EMB 23 WEEKS
"POLIDACTILIA, NO ESPECIFICADA,""POLYDACTYLY, UNSPECIFIED"""
CIRCULAR DE CORDON,CORD CIRCULAR
ADENO MIOMATOSIS,ADENO MYOMATOSIS
H ADENOIDES Y AMIGDALAS,H ADENOIDS AND TONSILS
SINDROME TUNEL DEL CARPO,CARPAL TUNNEL SYNDROME
ARTROSIS DE HALLUX IZQ,LEFT HALLUX ARTHROSIS
POLIPOS VESICULA,BLADDER POLYPS
DOLOR CADERA,HIP PAIN
CONDROMA CADERA,HIP CHONDROMA
PIELOLITIASIS IZDA,LEFT PYELOLITIASIS
HT ADENOIDES,HT ADENOIDS
COXARTROSIS CADERA IZDA,LEFT HIP COXARTHROSIS
HT CORNETES,HT CORNETS
CIV/CIA,CIV/CIA
FX PLATILLO TIBIAL,FX TIBIAL PLATE
HT CORNETES SEPTODESVIACION,HT CORNETS SEPTODEVIATION
SX MANGUITO ROTADOR IZDO,SX LEFT ROTATOR CUFF
CEFALEA EN ESTUDIO,HEADACHE IN STUDY
LESION MENISCO RODILLA IZDA,LEFT KNEE MENISCUS INJURY
VALVULA PROVOX DISFUNCIONAL,DYSFUNCTIONAL PROVOX VALVE
COARTACION AORTA,AORTA COARTCATION
DESVIACION  DEL SEPTO  NASAL,NASAL SEPTUM DEVIATION
SD  ADHERENCIAL,ADHERENTIAL SD
FACO Y LIO OJO  IZQ,PHACO AND IOL LEFT EYE
CA MAMA IZDA,CA LEFT MOTHER
MASA ANTEBRAZO DER,RIGHT FOREARM MASS
POLIPO ENDOCERVICALCERVICAL,ENDOCERVICALCERVICAL POLYP
FOCO SEPTICO DENTARIO,DENTAL SEPTIC FOCUS
HPERHIDROSIS,HYPERHYDROSIS
ESTUDIO DE NEUMOPATIA CRONICA,STUDY OF CHRONIC PNEUMOPATHIA
ADENOCARCINOMA ACI,ACI ADENOCARCINOMA
TRAUMA DE RODILLA DERECHA,RIGHT KNEE TRAUMA
PAPILOMATOSIS EN VIA AEREA,PAPILLOMATOSIS IN THE AIRWAY
PANCREATITITS CRONICA,CHRONIC PANCREATITITS
CANAL AV COMPLETO DE TIPO C DE RASTELLI BIEN BALANCEADO,WELL BALANCED RASTELLI TYPE C COMPLETE AV CHANNEL
HIPERMENORREA,HYPERMENORRHEA
RIGIDEZ ARTICULAR,JOINT RIGIDITY
INCONTINENCIA UINARIA,UINARY INCONTINENCE
DEDOS EN MARTILLO,HAMMER FINGERS
HISTIOCITOSIS CELULAR DE LANGERHANS,LANGERHANS CELLULAR HISTIOCYTOSIS
LESION EN LIGAMENTOS Y MENISCOS,LIGAMENT AND MENISCUS INJURY
NEURINOMA ANULAR MANO DERE,RIGHT HAND ANNULAR NEURINOMA
LESION RODILLA DERECHA,RIGHT KNEE INJURY
CELES GENITALES .,GENITAL CELES.
EPENDIMOMA ANAPLASICO,ANAPLASTIC EPENDYMOMA
PTE SANO .,HEALTHY PTE.
RINITIS,RHINITIS
POLIPO VOCAL,VOCAL POLYP
HALLUX,HALLUX
H. UMNILICAL,H. UMNILICAL
LUXACION AC IZQ,AC LUXATION LEFT
DOLOR CADERA IZQDA,LEFT HIP PAIN
ARTROSIS DE RODILLA BILATERAL,BILATERAL KNEE ARTHROSIS
LESION RODILLA IZQDA,LEFT KNEE INJURY
GANGLIONDORSAL MANO DERECHA,GANGLIONDORSAL RIGHT HAND
GLAUCOMA BILATERAL,BILATERAL GLAUCOMA
COLEISTITIS AGUDA,ACUTE CHOLEISTITIS
FRACTURA DE CLAVICULA IZQUIERDA,LEFT CLAVICLE FRACTURE
COLELITIASIS + HERNIA UMBILICAL,CHOLELITHIASIS + UMBILICAL HERNIA
FRACTURA CLAVICULA IZQUIERDA,LEFT CLAVICLE FRACTURE
HPAF EN HUESOS LARGOS PIERNA IZQUIERDA,HPAF IN LONG BONES LEFT LEG
ESTENOSIS DE LA VIA BILIAR,BILE duct stenosis
ANEURISMA CEREBRAL?,BRAIN ANEURYSM?
FX COMPLEJA DE MID,MID COMPLEX FX
POLIDACTILIA,POLYDACTYLY
COXARTROSIS CADERA DER,RIGHT HIP COXARTHROSIS
HT CORNETES/ALTERACION ATM BILATATERAL,HT Turbines/BILATATERAL TMJ ALTERATION
IRC TERMINAL,IRC TERMINAL
G2P1/EMBZO TERMINO,G2P1/EMBZO END
"HERNIA UMBILICAL , EPIGÁSTRICA,""UMBILICAL, EPIGASTRIC HERNIA"""
G2P0C2   EMB A TÉRMINO,G2P0C2 EMB TO TERM
TUMOR EN RIÑÓN DERECHO,RIGHT KIDNEY TUMOR
"BACTERIURIA ASINTOMÁTICA, NEFROLITIASIS,""ASYMPTOMATIC BACTERIURIA, NEPHROLITHIASIS"""
TUMOR EN MUÑECA IZQ,TUMOR IN LEFT WRIST
SD TRIPLE AAA,SD TRIPLE AAA
PECTUM EXCAVATUM CORREGIDO,PECTUM EXCAVATUM CORRECTED
DISFUNCION DE LA ATM,TMJ DYSFUNCTION
"COLELITISASIS, GANGLIOS EN RETROPERITONEO .,""CHOLELYTHISASIS, GANGLIA IN RETROPERITONEUM."""
HIPERTROFIA DE ADENOIDES + OTITS MEDIA,ADENOID HYPERTROPHY + OTITS MEDIA
CATETER IMPLANTABLE,IMPLANTABLE CATHETER
HEMAANGIOM,HEMAANGIOM
LESION MENISCAL DER,RIGHT MENISCAL INJURY
CA DORSO NASAL,CA NASAL DORSO
DOLOR ABD,ABD PAIN
ESION DE MENISCO RODILLA,KNEE MENISCUS SION
MASA PIE DERECHO,RIGHT FOOT MASS
TUMOR DE MAMA IZQ,LEFT BREAST TUMOR
CARIES .,CAVIES.
CA BASOCXELULAR EN CARA,BASOCXELULAR CA IN FACE
HENRIA INGUINAL DER,RH INGUINAL HENRIA
POLIPO UVULA,UVULA POLYP
TUMOR EN PAROTIDA,PAROTID TUMOR
S. DUPUITREN MANO DERECHA,S. DUPUITREN RIGHT HAND
RUPTURA DE LIGAMENTO LUNOTRIQUETRAL,RUPTURE OF LUNOTRICHETRAL LIGAMENT
DOLOR LUMBAR .,LUMBAR PAIN.
HALLJUX VALGUS BILATERAL.,BILATERAL HALLJUX VALGUS.
FISTULA ORONASAL,ORONASAL FISTULA
PIE PLANO IZQ,LEFT FLAT FOOT
SX DE SENO SILENTE,SILENT SINUS SX
RUPTURA LCA RODILLA IZQ,LEFT KNEE ACL RUPTURE
ARTRSOSIS DE CADERA,HIP ARTHRISIS
TRAUMA ATM,TMJ TRAUMA
MACROCEFALIA,MACROCEPHALY
ABSCESO BARTHOLINO,BARTHOLINE ABSCESS
ADENOMA TUBULO VELLOSO CON DISPLASIA DE BAJO GRADO,TUBULO VILLOUS ADENOMA WITH LOW GRADE DYSPLASIA
OSTEOMA CRANEAL,CRANIAL OSTEOMA
OSTEOMIELITIS FALANGE,PHALANGE OSTEOMYELITIS
CA MAMA,CA MAMA
HIDROSALPINX BILATERAL,BILATERAL HYDROSALPINX
"HIPOACUSIA, HIPERTROFIA DE CORNETES .,""HYPOACUSIA, CORNETAL HYPERTROPHY."""
SECUELAS DE TRAUMA EN CARA Y MMSS .,SEQUELS OF TRAUMA IN THE FACE AND MMSS.
MENOMETRORRAGIA .,MENOMETRORRHAGIA.
"CATARATA SENIL, RETINOPATÍA DIABETICA,""SENIL CATARACT, DIABETIC RETINOPATHY"""
MASA EN DEDO,MASS IN FINGER
DACRIOESTENOSIS OI,DACRYOSTENOSIS OI
CESAREA .,EVDA AND COLONOSCOPY
LAMINECTOMIA Y DISECTOMIA L4-L5 IZQUIERDA,LAMINECTOMY AND DISECTOMY L4-L5 LEFT
ARTROSCOPIA HOMBRO DER,RIGHT SHOULDER ARTHRSCOPY
COGULACIÓN CON ARGÓN PLASMA .,COGULATION WITH ARGON PLASMA.
AERTROSCOPIA DE CADERA IZQUIERDA .,LEFT HIP AERTHROSCOPY.
POMEROY LIGADURA TUBARICA,POMEROY TUBAL LIGATION
ORQUIDOPEXIA IZDA,LEFT ORCHIDOPEXY
ENDOSCOPIA DIG ALTA,HIGH DIG ENDOSCOPY
HERNIORRAFIA,HERNIORRHAPHY
TENDOSINOVECTOMIA DE F,TENDOSYNOVECTOMY OF F
COLONOSCOPIA,COLONOSCOPY
HISTERESCOPIA Y RESECCION DE POLIPO,HYSTERESCOPY AND POLYP RESECTION
HISTEROSCOPIA,HYSTEROSCOPY
ARTERIOGRAFIA VERTEBRAL BILATERAL + ANGIOPLASTIA,BILATERAL VERTEBRAL ARTERIOGRAPHY + ANGIOPLASTY
RNM CEREBRO,BRAIN MRI
RESECCION DE MASA Y RECONSTRUCCION,MASS RESECTION AND RECONSTRUCTION
LAPAROSCOPIA.,LAPAROSCOPY.
REDUCCION ABIERTA Y OTS,OPEN REDUCTION AND OTS
INSERCIÓN DE DISPOSITIVO GLAUCOMA OI .,OI GLAUCOMA DEVICE INSERTION.
